,Posted On,"Bedrooms, Halls, Kitchens",Rental Price,Size (ft2),Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Number of Bathrooms,Point of Contact
2389,2022-07-03,2,40000,850,Carpet Area,"Amar Colony, Lajpat Nagar",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2391,2022-05-14,1,3500,180,Super Area,"Ganesh Nagar, Tilak Nagar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2392,2022-07-09,3,25000,140,Carpet Area,Janakpuri,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2393,2022-07-04,1,9000,450,Carpet Area,Sudarshan Park,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2395,2022-06-06,1,22000,720,Carpet Area,Shakti Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2396,2022-06-04,2,12000,400,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2397,2022-06-05,2,11000,450,Carpet Area,Uttam Nagar,Delhi,Unfurnished,Bachelors,1,Contact Owner
2398,2022-04-30,1,20000,250,Carpet Area,"Nizamuddin East, Nizamuddin",Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2400,2022-05-12,2,11000,550,Carpet Area,New Ashok Nagar,Delhi,Unfurnished,Bachelors,2,Contact Agent
2401,2022-05-04,2,10000,450,Carpet Area,Pandav Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2402,2022-06-25,3,60000,2500,Carpet Area,Saket,Delhi,Unfurnished,Bachelors,3,Contact Agent
2404,2022-06-27,2,16000,100,Super Area,Rohini Sector 24,Delhi,Unfurnished,Bachelors,2,Contact Owner
2405,2022-05-14,1,16000,400,Carpet Area,Subhash Nagar,Delhi,Furnished,Bachelors,1,Contact Owner
2406,2022-06-12,2,12000,750,Carpet Area,Dwarka Mor,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2407,2022-07-07,1,8000,400,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2408,2022-06-30,3,14000,1100,Carpet Area,Dwarka Mor,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2409,2022-06-08,1,14900,450,Carpet Area,Rohini Sector 18,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2410,2022-04-27,2,15000,850,Carpet Area,Rohini Sector 23,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2411,2022-07-09,3,10000,600,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2412,2022-05-13,2,40000,750,Carpet Area,New Rajendra Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2413,2022-05-29,1,9000,500,Carpet Area,Neb Sarai,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
2414,2022-06-17,1,7000,350,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2415,2022-06-04,2,13500,623,Carpet Area,"Ganesh Nagar, Tilak Nagar",Delhi,Furnished,Bachelors/Family,1,Contact Owner
2417,2022-05-18,1,20000,75,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
2418,2022-04-27,2,7500,450,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2419,2022-06-30,2,9000,445,Carpet Area,"Palam Colony, Palam",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2421,2022-05-31,3,50000,1670,Super Area,Model Town,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner
2422,2022-06-24,1,13000,550,Carpet Area,Saket,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
2423,2022-05-18,1,12000,350,Carpet Area,Chhattarpur,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
2424,2022-05-18,2,16000,650,Carpet Area,Chhattarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2425,2022-05-31,2,13000,70,Super Area,Vikaspuri,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2426,2022-05-04,2,29000,100,Carpet Area,South,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2427,2022-06-08,3,18000,800,Super Area,Hari Nagar Ashram,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2428,2022-05-10,2,8500,60,Super Area,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2429,2022-05-23,3,27000,2000,Carpet Area,"Kohinoor Apartment, Kalkaji Extention",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2430,2022-05-09,2,18000,600,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2431,2022-06-07,1,11500,450,Carpet Area,"Bhogal, Jangpura",Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2433,2022-06-20,2,15500,600,Carpet Area,dwarka sector 8 Raj Nagar extension part 2,Delhi,Unfurnished,Bachelors,2,Contact Owner
2434,2022-07-07,4,55000,2000,Carpet Area,Dwarka sec 19,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2435,2022-05-01,2,20000,800,Super Area,Malviya Nagar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2436,2022-06-08,3,35000,170,Carpet Area,"Chitra Vihar, Swasthya Vihar",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2437,2022-05-18,2,38000,150,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2438,2022-05-04,2,16000,650,Carpet Area,Freedom Fighters Enclave,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2439,2022-06-21,3,50000,1250,Carpet Area,Chittaranjan Park Block B,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2440,2022-06-17,1,9500,600,Super Area,Chhattarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2442,2022-06-08,1,10000,450,Super Area,Rohini Sector 18,Delhi,Unfurnished,Bachelors,1,Contact Owner
2443,2022-06-12,2,25000,100,Carpet Area,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors,2,Contact Owner
2444,2022-05-14,1,30000,650,Super Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2445,2022-05-18,2,12000,48,Super Area,Rohini Sector 16,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2446,2022-07-07,2,16500,550,Carpet Area,"Guru Angad Nagar West, Laxmi Nagar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2447,2022-06-04,1,4500,240,Super Area,Dilshad Colony,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2448,2022-06-22,2,30000,700,Carpet Area,Vasant Kunj Sector B,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2449,2022-07-03,1,12000,48,Super Area,Rohini Sector 11,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2450,2022-05-27,2,23000,100,Super Area,Mansarover Garden,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2452,2022-06-27,1,5500,50,Carpet Area,Lado Sarai,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2453,2022-07-05,3,35000,1300,Carpet Area,Dakshini Pitampura,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2454,2022-05-27,2,9000,145,Super Area,Palam,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2455,2022-05-24,2,22000,800,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2456,2022-06-09,3,35000,1100,Super Area,Kalkaji Extension,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner
2457,2022-05-02,1,12000,450,Super Area,Dwarka Sector 7,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2458,2022-06-28,2,6000,300,Carpet Area,Jhangir Puri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2459,2022-05-19,2,22000,1040,Carpet Area,"Janak Park, Hari Nagar",Delhi,Semi-Furnished,Bachelors,3,Contact Owner
2460,2022-05-18,1,5000,25,Carpet Area,Ganga Vihar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2461,2022-06-04,2,20500,900,Super Area,"IGNOU Road, Saket",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2462,2022-05-28,2,7500,1100,Super Area,Bijwasan,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2463,2022-07-01,2,5500,380,Super Area,Prem Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2464,2022-06-02,3,25000,450,Carpet Area,Gandhi Nagar,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2465,2022-07-02,1,13000,550,Carpet Area,Lajpat Nagar 4,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
2466,2022-06-04,1,5000,180,Super Area,Mukherjee Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2467,2022-05-06,3,40000,1650,Carpet Area,Dakshini Pitampura,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2468,2022-05-31,1,12500,250,Super Area,"Inder Puri Block A, Inder Puri",Delhi,Furnished,Bachelors/Family,1,Contact Owner
2469,2022-05-29,1,6000,400,Carpet Area,"Raghubir Nagar, Tagore Garden Extension",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2470,2022-07-04,2,15500,900,Carpet Area,Vivek Vihar Phase 2,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2472,2022-06-12,3,36000,892,Carpet Area,Gautam Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2473,2022-05-18,1,13000,400,Carpet Area,Chhattarpur Enclave,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
2474,2022-06-29,3,45000,100,Carpet Area,"Mandakini Enclave, Alaknanda",Delhi,Unfurnished,Bachelors,2,Contact Owner
2475,2022-06-22,2,2000,60,Super Area,Ram Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2476,2022-07-04,2,28000,80,Super Area,Janakpuri,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2477,2022-05-12,2,9000,450,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2478,2022-04-29,1,12000,520,Carpet Area,Geeta Colony,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2479,2022-04-29,1,13000,350,Super Area,Rohini Sector 3,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2480,2022-04-29,2,11000,600,Carpet Area,Aya Nagar,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2481,2022-07-07,3,35000,950,Carpet Area,Karol Bagh,Delhi,Furnished,Bachelors,2,Contact Agent
2482,2022-05-13,2,10000,450,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2483,2022-07-07,1,20000,450,Carpet Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
2484,2022-07-07,2,25000,850,Carpet Area,Karol Bagh,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2485,2022-06-12,1,8000,200,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2487,2022-06-16,3,36000,1500,Carpet Area,"Mahendru Enclave, Model Town",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner
2488,2022-07-04,2,12000,700,Super Area,Sultanpur,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2489,2022-05-10,1,8500,530,Super Area,"Palam Colony, Palam",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2490,2022-05-27,3,17000,800,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,2,Contact Agent
2491,2022-05-05,1,7500,45,Super Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2492,2022-05-05,1,16000,900,Super Area,Kalkaji,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2493,2022-05-10,1,9000,450,Super Area,Mehrauli,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2494,2022-05-10,2,8000,650,Super Area,Rangpuri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2495,2022-05-10,2,45000,900,Super Area,Lajpat Nagar 1,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2496,2022-05-04,2,27000,900,Carpet Area,RWA triveni residents,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2497,2022-05-05,2,14000,120,Super Area,Dwarka Mor,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2498,2022-06-12,2,14000,600,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,2,Contact Agent
2499,2022-05-21,2,14000,615,Carpet Area,Laxmi Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2500,2022-06-14,1,7500,225,Carpet Area,Kapi Bagan Basti,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2501,2022-06-10,1,10000,800,Carpet Area,"Paryavaran Complex, Sainik Farm",Delhi,Unfurnished,Bachelors,1,Contact Owner
2502,2022-04-29,1,7000,400,Carpet Area,Aya Nagar,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2503,2022-04-29,1,25000,800,Super Area,Mukherjee Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2504,2022-04-29,2,9000,60,Super Area,Mehrauli,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2505,2022-04-29,3,22000,1000,Super Area,"Khanpur Extension, Sangam Vihar",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2506,2022-05-05,3,10000,75,Super Area,Sagar Pur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2507,2022-05-05,3,11000,800,Super Area,Hastsal,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2508,2022-06-17,1,12500,200,Super Area,Kamla Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2509,2022-05-14,3,15000,800,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,2,Contact Agent
2510,2022-05-10,2,35000,80,Super Area,Kamla Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2511,2022-05-10,2,35000,900,Super Area,Lajpat Nagar,Delhi,Unfurnished,Family,2,Contact Owner
2512,2022-05-10,2,52000,1125,Super Area,Saket,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2513,2022-04-29,3,15000,900,Super Area,Dwarka Mor,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2514,2022-06-04,2,32000,1100,Carpet Area,Rajouri Garden,Delhi,Unfurnished,Bachelors,2,Contact Agent
2515,2022-06-04,1,11500,400,Carpet Area,Lajpat Nagar 4,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
2516,2022-07-04,3,45000,713,Carpet Area,"Prem Nagar, Patel Nagar",Delhi,Furnished,Bachelors/Family,3,Contact Owner
2517,2022-07-07,2,16000,700,Carpet Area,Shadipur,Delhi,Unfurnished,Bachelors,1,Contact Agent
2518,2022-05-21,2,20000,1000,Carpet Area,Krishna Nagar Block D,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2519,2022-05-27,1,7000,54,Super Area,Nawada,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2521,2022-05-28,1,15000,200,Super Area,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",Delhi,Furnished,Bachelors/Family,1,Contact Owner
2522,2022-07-03,2,22000,800,Super Area,Chhattarpur,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2523,2022-05-18,2,32000,1000,Super Area,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2524,2022-07-01,2,20000,500,Carpet Area,"Vasant Kunj 2, Vasant Kunj",Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2525,2022-06-04,1,35000,300,Super Area,Rajouri Garden,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2526,2022-06-16,2,35000,900,Carpet Area,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2527,2022-07-07,3,65000,240,Carpet Area,Saket,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2528,2022-05-12,2,15000,650,Carpet Area,"Fateh Nagar, Janakpuri",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2529,2022-06-18,3,12000,950,Carpet Area,"Kotla, Mayur Vihar",Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2530,2022-05-10,1,8000,500,Super Area,Dwarka Sector 23,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2531,2022-05-28,1,11000,500,Super Area,Palam - Dabri Marg,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2532,2022-05-10,2,12000,450,Super Area,Mansa Ram Park,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2534,2022-06-04,2,24000,150,Super Area,Paschim Vihar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2535,2022-06-04,1,20000,400,Carpet Area,Lajpat Nagar 4,Delhi,Furnished,Bachelors/Family,1,Contact Agent
2536,2022-05-10,3,16000,100,Super Area,"Jamia Nagar, Okhla",Delhi,Furnished,Bachelors/Family,2,Contact Owner
2537,2022-06-04,1,15000,400,Carpet Area,Lajpat Nagar 4,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2538,2022-05-14,2,28500,900,Carpet Area,Paschim Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2539,2022-05-05,3,30000,1350,Super Area,Vasundhara Enclave,Delhi,Semi-Furnished,Family,3,Contact Owner
2540,2022-07-04,1,16000,500,Super Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2542,2022-06-04,1,11000,400,Carpet Area,Lajpat Nagar 4,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
2543,2022-06-29,2,21000,110,Super Area,"Jangpura Extension, Jangpura",Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2544,2022-07-04,3,10500,1200,Super Area,Najafgarh,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2545,2022-04-29,2,15000,50,Carpet Area,Dwarka Sector 14,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2546,2022-07-06,3,16000,100,Super Area,Hari Nagar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2547,2022-07-04,2,45000,1000,Super Area,"Kailash Colony, Greater Kailash",Delhi,Furnished,Bachelors/Family,2,Contact Owner
2548,2022-05-03,1,6000,63,Super Area,Rohini Sector 2,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2549,2022-05-19,3,40000,1800,Super Area,Vasant Kunj,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2550,2022-07-09,2,36000,1440,Carpet Area,Chittaranjan Park,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2551,2022-05-27,2,12000,55,Super Area,Uttam Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2552,2022-05-27,3,45000,1500,Carpet Area,"The Shabad Apartment, Dwarka Sector 13",Delhi,Unfurnished,Bachelors,3,Contact Owner
2553,2022-06-18,2,20000,400,Super Area,"Kasturba Niketan, Lajpat Nagar 2",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2554,2022-06-11,3,10000,100,Carpet Area,Krishna Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2555,2022-06-29,2,5000,500,Super Area,Sangam Vihar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2556,2022-05-27,2,8000,100,Super Area,Rohini Sector 38,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2557,2022-05-10,2,13000,455,Super Area,"DDA Akshardham Apartments, DS 19",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2558,2022-04-29,2,15000,80,Carpet Area,Anand Parbat,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2559,2022-07-04,2,7500,450,Super Area,Burari,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2560,2022-06-08,1,6000,400,Super Area,"Qutub Vihar, Dwarka",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2562,2022-05-14,2,12000,700,Super Area,Rohini Sector 23,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2563,2022-05-10,2,10000,600,Super Area,"Mohan Garden, Razapur Khurd",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2564,2022-05-10,2,10000,800,Super Area,"Bharthal, Dwarka",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2565,2022-05-23,2,12000,950,Super Area,"Chanakya Place, Sitapuri",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2566,2022-07-06,2,15000,450,Super Area,Shadipur,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2567,2022-06-30,1,10000,450,Carpet Area,Radhey Shyam Park,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2568,2022-07-04,2,12000,68,Super Area,Uttam Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2569,2022-06-18,2,14500,850,Carpet Area,"Rajpur Khurd Extension, Rajpur",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2570,2022-06-29,2,18500,1000,Super Area,"Kotla Mubarakpur, South Extension",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2571,2022-06-04,1,24000,600,Carpet Area,Rajouri Garden,Delhi,Furnished,Bachelors,1,Contact Agent
2572,2022-05-27,2,11000,65,Super Area,New Ashok Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2573,2022-05-19,3,52000,1700,Carpet Area,Vasant Kunj,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2575,2022-07-04,2,12000,1000,Super Area,Uttam Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2576,2022-07-09,2,22000,900,Carpet Area,Patparganj,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2578,2022-05-01,2,20000,75,Super Area,Green Park,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2579,2022-05-18,3,45000,200,Carpet Area,Paschim Vihar Block B1,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2580,2022-05-23,1,8000,200,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2581,2022-05-27,1,8000,200,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2582,2022-05-18,2,9500,450,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2583,2022-07-07,2,25000,750,Carpet Area,Karol Bagh,Delhi,Furnished,Bachelors,2,Contact Agent
2584,2022-05-27,2,12000,400,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2585,2022-06-11,2,24000,84,Carpet Area,Paschim Vihar,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2586,2022-05-05,2,27000,90,Super Area,Rohini Sector 8,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2587,2022-07-04,2,18000,90,Super Area,Mansarovar garden,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2588,2022-06-20,2,17000,500,Super Area,Lajpat Nagar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2589,2022-05-10,2,15000,75,Super Area,Adarsh Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2590,2022-05-23,1,13000,512,Carpet Area,Patel Nagar West,Delhi,Furnished,Bachelors/Family,1,Contact Agent
2592,2022-07-09,1,14000,446,Super Area,"Amar Colony, Lajpat Nagar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2593,2022-05-14,3,32000,1100,Super Area,"Gagan Vihar, Krishna Nagar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2594,2022-05-10,1,4000,125,Super Area,Sangam Vihar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2596,2022-06-16,3,20000,1300,Super Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2597,2022-06-20,3,30000,2000,Super Area,"Ashoka Enclave Apartment, Dwarka Sector 11",Delhi,Semi-Furnished,Family,2,Contact Owner
2599,2022-06-30,3,19500,125,Super Area,Uttam Nagar,Delhi,Unfurnished,Bachelors,2,Contact Owner
2600,2022-05-24,2,18000,730,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2601,2022-05-07,2,25000,160,Carpet Area,Dr Mukherjee Nagar West,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2602,2022-05-05,2,18000,1000,Super Area,Janakpuri Block B1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2603,2022-05-05,1,10000,450,Super Area,Paschim Vihar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2604,2022-05-05,2,12000,75,Super Area,Mehrauli,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2605,2022-06-18,3,25000,2000,Super Area,"Karkardooma, Anand Vihar",Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2606,2022-06-18,4,40000,2400,Super Area,Preet Vihar,Delhi,Unfurnished,Bachelors,3,Contact Agent
2607,2022-06-18,2,30000,1800,Super Area,"Karkardooma, Anand Vihar",Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2608,2022-06-18,3,29000,1800,Super Area,Mausam Vihar,Delhi,Unfurnished,Family,3,Contact Agent
2609,2022-06-18,3,35000,2200,Super Area,"Nirman Vihar, Preet Vihar",Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2610,2022-06-18,3,21000,2200,Carpet Area,Vivek Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2611,2022-06-18,3,31000,900,Carpet Area,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2612,2022-05-05,2,8000,75,Super Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2613,2022-05-05,2,15500,75,Super Area,Saket,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2614,2022-06-18,3,32000,1800,Carpet Area,"Gagan Vihar, Krishna Nagar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2615,2022-06-18,3,30000,160,Carpet Area,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2616,2022-07-04,4,42000,2700,Carpet Area,"Pushpanjali, Anand Vihar",Delhi,Semi-Furnished,Bachelors,4,Contact Agent
2617,2022-05-23,3,20500,1050,Carpet Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Agent
2618,2022-05-09,3,60000,1800,Super Area,Sarvodaya Enclave,Delhi,Furnished,Bachelors/Family,3,Contact Owner
2620,2022-05-14,1,16000,499,Carpet Area,Chittaranjan Park Block K,Delhi,Semi-Furnished,Family,1,Contact Owner
2621,2022-05-17,1,8500,450,Carpet Area,Sarita Vihar Pocket M,Delhi,Unfurnished,Bachelors,1,Contact Agent
2622,2022-05-05,1,14000,60,Super Area,"Paryavaran Complex, Sainik Farm",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2624,2022-04-29,2,8000,130,Super Area,Raj Nagar 2,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2625,2022-04-29,3,12500,650,Super Area,Chirag Delhi,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2626,2022-04-29,2,14000,100,Super Area,Janakpuri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
